price_reduction_pct,additional_non_diabetes_qaly_multiplier,total_incremental_qaly,modeled_incremental_qaly,incremental_cost,nmb_50000,nmb_150000,cost_effective_at_50000,cost_effective_at_150000
15,0.2,0.054313640235223205,0.045261366862686,8417.557748114119,-5701.8757363529585,-270.5117128306383,0,0
15,0.3,0.0588397769214918,0.045261366862686,8417.557748114119,-5475.568902039529,408.4087901096518,0,1
15,0.4,0.06336591360776041,0.045261366862686,8417.557748114119,-5249.262067726098,1087.3292930499429,0,1
15,0.5,0.067892050294029,0.045261366862686,8417.557748114119,-5022.955233412669,1766.249795990232,0,1
15,0.6,0.0724181869802976,0.045261366862686,8417.557748114119,-4796.648399099238,2445.1702989305213,0,1
15,0.7,0.0769443236665662,0.045261366862686,8417.557748114119,-4570.341564785809,3124.0908018708105,0,1
15,0.8,0.08147046035283481,0.045261366862686,8417.557748114119,-4344.034730472378,3803.0113048111034,0,1
15,0.9,0.08599659703910341,0.045261366862686,8417.557748114119,-4117.727896158948,4481.931807751393,0,1
15,1.0,0.090522733725372,0.045261366862686,8417.557748114119,-3891.421061845519,5160.852310691682,0,1
15,1.1,0.0950488704116406,0.045261366862686,8417.557748114119,-3665.114227532089,5839.772813631971,0,1
15,1.2,0.09957500709790922,0.045261366862686,8417.557748114119,-3438.807393218658,6518.693316572264,0,1
15,1.3,0.1041011437841778,0.045261366862686,8417.557748114119,-3212.500558905229,7197.613819512551,0,1
15,1.4,0.10862728047044641,0.045261366862686,8417.557748114119,-2986.193724591799,7876.534322452842,0,1
15,1.5,0.11315341715671501,0.045261366862686,8417.557748114119,-2759.886890278369,8555.454825393132,0,1
15,1.6,0.1176795538429836,0.045261366862686,8417.557748114119,-2533.5800559649388,9234.375328333423,0,1
15,1.7,0.12220569052925222,0.045261366862686,8417.557748114119,-2307.273221651508,9913.295831273714,0,1
15,1.8,0.12673182721552081,0.045261366862686,8417.557748114119,-2080.9663873380787,10592.216334214005,0,1
15,1.9,0.1312579639017894,0.045261366862686,8417.557748114119,-1854.6595530246495,11271.136837154292,0,1
15,2.0,0.135784100588058,0.045261366862686,8417.557748114119,-1628.3527187112186,11950.057340094583,0,1
15,2.1,0.14031023727432662,0.045261366862686,8417.557748114119,-1402.0458843977876,12628.977843034874,0,1
15,2.2,0.1448363739605952,0.045261366862686,8417.557748114119,-1175.7390500843585,13307.898345975162,0,1
15,2.3,0.14936251064686382,0.045261366862686,8417.557748114119,-949.4322157709285,13986.818848915453,0,1
15,2.4,0.1538886473331324,0.045261366862686,8417.557748114119,-723.1253814574993,14665.73935185574,0,1
15,2.5,0.158414784019401,0.045261366862686,8417.557748114119,-496.81854714406836,15344.659854796031,0,1
15,2.6,0.16294092070566962,0.045261366862686,8417.557748114119,-270.5117128306383,16023.580357736326,0,1
15,2.7,0.1674670573919382,0.045261366862686,8417.557748114119,-44.20487851720827,16702.500860676613,0,1
15,2.8,0.17199319407820682,0.045261366862686,8417.557748114119,182.10195579622268,17381.421363616904,1,1
