draw,incremental_qaly,incremental_cost,nmb_50000,nmb_150000
187,0.060232004463109945,11340.482608329696,-8328.882385174198,-2305.681938863205
188,0.017187370320844053,9850.856624732256,-8991.488108690053,-7272.7510766056475
189,0.032875950934652565,10408.314287161538,-8764.51674042891,-5476.921646963654
190,0.04049487119723949,9173.363324729993,-7148.619764868019,-3099.132645144069
191,0.06456573737634486,7111.576920546906,-3883.290051729663,2573.283685904822
192,0.05332241262376414,10788.170294366184,-8122.049663177977,-2789.808400801563
193,0.05548076434001814,9148.565266197314,-6374.5270491964075,-826.4506151945934
194,0.04764200956085318,9701.270380898422,-7319.169902855763,-2554.9689467704447
195,0.04265795440707265,10610.813759310784,-8477.916038957152,-4212.120598249886
196,0.03423190990212177,8606.657556446484,-6895.062061340395,-3471.8710711282183
197,0.043100766923064526,8939.756264218062,-6784.717918064835,-2474.6412257583834
198,0.034984328128391695,8805.263615522925,-7056.04720910334,-3557.614396264171
199,0.03435708703656104,8964.641257209649,-7246.786905381597,-3811.0782017254924
200,0.02322992171635363,10616.162697329215,-9454.666611511533,-7131.674439876171
201,0.04373255284963662,7076.859632017506,-4890.231989535674,-516.9767045720127
202,0.03329350897610439,9072.979546337741,-7408.304097532522,-4078.9531999220826
203,0.055221452814791405,10362.310240958597,-7601.237600219027,-2079.0923187398857
204,0.03058348050805293,7536.722458978831,-6007.548433576185,-2949.2003827708913
205,0.05545743658676372,9229.633841528663,-6456.7620121904765,-911.0183535141041
206,0.0325815423430349,7562.221798948509,-5933.144681796764,-2674.9904474932746
207,0.0874541491766685,9835.946943671303,-5463.239484837878,3282.1754328289717
208,0.04212571195896686,9135.59545441858,-7029.309856470238,-2816.738660573552
209,0.03674533644813138,9507.12797712539,-7669.861154718821,-3995.3275099056827
210,0.027735449837763326,10489.414685710575,-9102.642193822408,-6329.097210046077
211,0.05472741179191942,10541.600768412503,-7805.230178816532,-2332.4889996245893
212,0.06207376191207459,10124.242583970688,-7020.554488366959,-813.1782971595003
213,0.029131292699599243,10890.157539626874,-9433.592904646912,-6520.463634686988
214,0.03388980397359376,11683.813092193963,-9989.322893514274,-6600.342496154899
215,0.03274608030578108,10937.610146103998,-9300.306130814944,-6025.698100236837
216,0.05386764086699003,10078.987263596413,-7385.605220246911,-1998.8411335479086
217,0.039239720644850706,8896.169962546812,-6934.183930304276,-3010.2118658192057
218,0.06039768548784252,10852.655544115896,-7832.77126972377,-1793.0027209395175
219,0.02413935103713527,9107.094097907267,-7900.126546050504,-5486.191442336977
220,0.03160391560874842,10168.018580559654,-8587.822800122232,-5427.43123924739
221,0.034627383026055725,10585.326001346035,-8853.956850043249,-5391.2185474376765
222,0.04446023935667398,10127.348670073545,-7904.336702239845,-3458.312766572448
223,0.015766149611842195,11329.891475094957,-10541.583994502847,-8964.969033318628
224,0.050753932045271455,11173.506047464907,-8635.809445201334,-3560.416240674189
225,0.038458408594909343,9672.631724958177,-7749.71129521271,-3903.8704357217757
226,0.04898223125709933,11503.956085113774,-9054.844522258807,-4156.621396548875
227,0.030514591997864216,8827.347875171065,-7301.618275277853,-4250.159075491432
228,0.04968696328426603,9768.52270038571,-7284.17453617241,-2315.4782077458067
229,0.048977151433181376,10019.652534771612,-7570.794963112543,-2673.079819794406
230,0.026439382951092938,10500.123592375638,-9178.15444482099,-6534.216149711697
231,0.07438288793108683,8352.500548660038,-4633.356152105697,2804.932641002986
232,0.05886954211413453,9542.99291407267,-6599.515808365944,-712.5615969524915
233,0.02350234239154858,9712.842598572166,-8537.725478994736,-6187.491239839879
234,0.03677098283971603,12039.676422514567,-10201.127280528766,-6524.028996557163
235,0.04447965067077675,10158.53660262477,-7934.5540690859325,-3486.589002008258
236,0.04159316349452524,10093.500357488905,-8013.842182762643,-3854.525833310119
237,0.03338503340300747,11229.255285379048,-9560.003615228674,-6221.500274927927
238,0.04779004304345236,7647.725063547638,-5258.22291137502,-479.2186070297839
239,0.04779848953031163,9144.093986368836,-6754.169509853255,-1974.320556822092
240,0.03658294740118606,9243.192051851687,-7414.044681792384,-3755.7499416737783
241,0.05616121576103694,11235.011339822926,-8426.950551771079,-2810.828975667384
242,0.051998506676998346,10393.892613675042,-7793.967279825124,-2594.11661212529
243,0.05472341104607992,10979.100547060778,-8242.929994756782,-2770.5888901487906
